,kbps,kbps(avg)
     0.000,376.90,376.90
     4.004,989.54,683.22
     8.008,1166.78,844.41
    12.012,1313.45,961.67
    16.016,724.38,914.21
    20.020,103.73,779.13
    24.024,387.10,723.13
    28.028,345.46,675.92
    32.032,1901.06,812.05
    36.036,4641.69,1195.01
    40.040,1689.35,1239.95
    44.044,1193.54,1236.08
    48.048,906.95,1210.76
    52.052,9582.80,1808.77
    56.056,12600.05,2528.19
    60.060,14525.73,3278.03
    64.064,11964.44,3789.00
    68.068,3860.20,3792.95
    72.072,6780.76,3950.21
    76.076,6885.10,4096.95
    80.080,2711.86,4030.99
    84.084,3357.32,4000.37
    88.088,5596.59,4069.77
    92.092,1667.18,3969.67
    96.096,7966.68,4129.55
   100.100,3291.05,4097.30
   104.104,5181.69,4137.46
   108.108,6030.65,4205.07
   112.112,2129.68,4133.51
   116.116,2570.88,4081.42
   120.120,7383.56,4187.94
   124.124,3464.35,4165.33
   128.128,1839.66,4094.85
   132.132,3817.21,4086.69
   136.136,3023.94,4056.32
   140.140,2473.77,4012.36
   144.144,1887.41,3954.93
   148.148,600.34,3866.65
   152.152,1395.51,3803.29
   156.156,3036.65,3784.13
   160.160,1686.37,3732.96
   164.164,1303.00,3675.10
   168.168,1686.86,3628.87
   172.172,403.35,3555.56
   176.176,1331.79,3506.14
   180.180,339.74,3437.31
   184.184,1056.62,3386.65
   188.188,724.75,3331.20
   192.192,741.84,3278.35
   196.196,539.97,3223.59
   200.200,1599.07,3191.73
   204.204,1557.19,3160.30
   208.208,414.39,3108.49
   212.212,614.51,3062.30
   216.216,231.53,3010.84
   220.220,771.55,2970.85
   224.224,5505.11,3015.31
   228.228,1458.05,2988.46
   232.232,1516.38,2963.51
   236.236,1271.69,2935.31
   240.240,39.96,2887.85
   244.244,930.78,2856.28
   248.248,864.18,2824.66
   252.252,281.10,2784.92
   256.256,902.22,2755.95
   260.260,1500.26,2736.93
   264.264,2166.32,2728.41
   268.268,4346.06,2752.20
   272.272,631.25,2721.46
   276.276,999.25,2696.86
   280.280,731.63,2669.18
   284.284,381.96,2637.41
   288.288,837.14,2612.75
   292.292,382.57,2582.61
   296.296,1231.63,2564.60
   300.300,971.42,2543.64
   304.304,907.15,2522.38
   308.308,2143.05,2517.52
   312.312,1240.50,2501.36
   316.316,499.74,2476.34
   320.320,968.85,2457.73
   324.324,744.91,2436.84
   328.328,1280.21,2422.90
   332.332,996.21,2405.92
   336.336,741.67,2386.34
   340.340,586.82,2365.41
   344.344,678.91,2346.03
   348.348,894.13,2329.53
   352.352,1100.75,2315.72
   356.356,727.81,2298.08
   360.360,2782.77,2303.41
   364.364,415.89,2282.89
   368.368,534.61,2264.09
   372.372,427.94,2244.56
   376.376,1341.00,2235.05
   380.380,2293.73,2235.66
   384.384,2240.67,2235.71
   388.388,1342.41,2226.59
